Variabel_Name;Label;;;
auto_industry;Automobilindustrie;;;
bau_industry;Baugewerbe;;;
berg_industry;Bergbau;;;
chem_industry;Chemische Industrie;;;
energie_industry;Energieversorgung;;;
finanzVers_industry;Erbringung von Finanz- und Versicherungsdienstleistungen;;;
sonstDL_industry;Erbringung von sonstigen Dienstleistungen;;;
sonstWirtDL_industry;Erbringung von sonstigen wirtschaftlichen Dienstleistungen;;;
erzi_industry;Erziehung und Unterricht;;;
exte_industry;Exterritoriale Organisationen und Körperschaften;;;
gast_industry;Gastgewerbe;;;
gesu_industry;Gesundheits- und Sozialwesen;;;
grun_industry;Grundstücks- und Wohnungswesen;;;
hand_industry;Handel;;;
info_industry;Information und Kommunikation;;;
kuns_industry;Kunst, Unterhaltung und Erholung;;;
masc_industry;Maschinenbau;;;
oeffentVerwa_industry;Öffentliche Verwaltung, Verteidigung, Sozialversicherung;;;
phar_industry;Pharmaindustrie;;;
priv_industry;Private Haushalte mit Hauspersonal;;;
stahl_industry;Stahlindustrie;;;
verarb_industry;Verarbeitendes Gewerbe;;;
verk_industry;Verkehr und Lagerei;;;
wass_industry;Wasserversorgung;;;
sons_industry;Sonstiges;;;
