antwortid;LegalForm;GroupMember;ForeignCompany;Income;AllIndustry;TaxAudit5Y;TaxAudit10Y;ForeignTaxAudit;A1_1_01;A1_1_02;A1_1_03;A1_1_04;A1_1_05;A1_1_06;A2_1_01;A2_1_02;A2_1_03;A2_1_04;A2_2_01;A2_2_02;A2_3_01;A2_3_02;A2_3_03;A3_1_01;A3_1_02;A3_1_03;A3_1_04;A4_1_01;A4_1_02;A4_1_03;A4_1_04;A4_1_05;A4_1_06;A4_2_01;A4_2_02;A4_2_03;A4_2_04;A4_2_05;A4_2_06;A4_2_07;A4_2_08;A4_2_09;A4_2_10;A4_2_11;A5_1_01;A5_1_02;A5_1_03;A5_1_04;A5_2_01;A5_2_02;A5_3_01;A5_3_02;A5_3_03;A5_3_04;A5_3_05;A5_3_06;A5_3_07;A5_3_08
2;Kapitalgesellschaft;Konzernmutter;Ja;> 250-750 Mio. EUR;masc_industry ;2;2;Nein;10;10;8;7;5;2;1;1;1;1;8;2;2;2;5;9;2;2;3;8;6;2;2;2;1;2;2;10;10;2;1;2;2;Keine Antwort;Keine Antwort;Keine Antwort;9;9;9;9;10;10;9;9;2;3;9;9;9;9
6;Mischgesellschaft;Konzernmutter;Ja;> 750 Mio. EUR;phar_industry ;10;10;Nein;10;10;10;7;Keine Antwort;3;3;5;5;8;10;1;1;1;1;9;8;10;5;6;6;1;5;4;1;3;7;10;10;Keine Antwort;1;1;4;Keine Antwort;5;5;5;5;5;5;1;1;1;1;10;3;8;1;8;3
8;Mischgesellschaft;Konzernmutter;Ja;> 750 Mio. EUR;verarb_industry ;9;9;Nein;10;10;10;6;10;3;5;5;5;5;10;1;1;1;1;8;8;10;3;9;9;8;5;5;6;7;8;7;7;Keine Antwort;7;7;7;Keine Antwort;Keine Antwort;9;6;8;5;7;Keine Antwort;Keine Antwort;4;2;2;3;8;5;4;4
10;Mischgesellschaft;Konzernmutter;Ja;> 750 Mio. EUR;auto_industry ;10;10;Nein;10;10;10;8;10;1;1;10;10;10;10;1;3;7;7;10;8;10;3;8;10;8;10;8;5;8;10;5;5;Keine Antwort;8;5;5;1;1;Keine Antwort;10;10;10;10;10;10;5;10;8;10;10;10;10;10
11;Kapitalgesellschaft;Konzernmutter;Ja;> 750 Mio. EUR;masc_industry ;10;10;Nein;10;10;8;6;8;8;8;8;8;8;10;8;5;5;5;9;6;6;8;10;10;10;7;7;5;10;8;8;5;5;5;8;8;Keine Antwort;Keine Antwort;Keine Antwort;10;10;10;10;10;10;2;8;2;2;10;2;2;2
12;Kapitalgesellschaft;Teilkonzernmutter;Ja;> 750 Mio. EUR;auto_industry ;10;10;Nein;8;10;9;3;6;Keine Antwort;5;10;10;8;9;5;5;5;2;10;9;9;5;9;9;7;7;7;8;8;9;3;3;2;5;6;6;Keine Antwort;Keine Antwort;4;8;6;6;8;5;8;6;6;6;2;8;6;6;7
14;Kapitalgesellschaft;Konzernmutter;Ja;> 750 Mio. EUR;verarb_industry ;10;10;Nein;9;10;9;7;Keine Antwort;Keine Antwort;5;8;8;8;8;5;3;2;2;8;7;7;7;9;9;7;7;8;6;7;7;3;3;Keine Antwort;4;6;6;Keine Antwort;8;7;7;7;7;7;7;7;5;6;7;5;8;8;6;6
15;Kapitalgesellschaft;Konzernmutter;Ja;> 750 Mio. EUR;sonstDL_industry ;10;8;Nein;10;10;10;8;Keine Antwort;7;8;10;10;10;8;3;1;1;1;10;10;9;4;8;8;7;1;1;4;9;10;2;3;Keine Antwort;3;9;3;Keine Antwort;3;3;8;8;8;8;8;8;2;2;8;8;8;8;8;8
16;Mischgesellschaft;Konzernmutter;Ja;> 750 Mio. EUR;auto_industry ;10;10;Nein;10;10;10;10;1;1;10;2;2;10;10;1;1;10;10;10;10;1;10;7;7;4;7;3;3;7;10;1;10;10;1;1;1;Keine Antwort;Keine Antwort;Keine Antwort;10;10;10;10;10;10;1;1;1;1;10;1;1;10
18;Mischgesellschaft;Konzernmutter;Ja;bis zu 250 Mio. EUR;verarb_industry ;3;3;Nein;5;8;8;1;6;4;5;5;5;5;6;1;2;6;4;4;2;Keine Antwort;3;7;7;4;5;5;5;6;8;5;3;9;5;2;5;Keine Antwort;Keine Antwort;Keine Antwort;8;8;8;8;10;10;6;7;6;7;5;4;7;7
